Country,AI_usage_score,AI_usage_percent
Slovakia,9.620437956204379,56.59081150708458
Slovenia,8.324324324324325,48.96661367249603
Somalia,13.333333333333334,78.43137254901961
South Africa,9.7625,57.42647058823529
South Korea,11.340909090909092,66.71122994652407
Spain,9.678466076696164,56.93215339233038
Sri Lanka,12.566265060240964,73.91920623671156
Sudan,13.0,76.47058823529412
Suriname,11.5,67.64705882352942
Swaziland,9.4,55.294117647058826
Sweden,8.345117845117844,49.0889285006932
Switzerland,8.721904761904762,51.305322128851536
Syrian Arab Republic,10.0,58.82352941176471
Taiwan,10.964285714285714,64.49579831932772
Tajikistan,12.0,70.58823529411765
Thailand,10.490196078431373,61.70703575547867
Timor-Leste,14.0,82.35294117647058
Togo,11.666666666666666,68.62745098039215
Trinidad and Tobago,11.285714285714286,66.38655462184875
Tunisia,11.24390243902439,66.14060258249641
Turkey,10.567049808429118,62.15911652017129
Turkmenistan,13.5,79.41176470588235
Uganda,12.95,76.17647058823529
Ukraine,10.771043771043772,63.35908100613983
United Arab Emirates,11.544303797468354,67.90766939687268
United Kingdom of Great Britain and Northern Ireland,7.7047082906857725,45.32181347462219
United Republic of Tanzania,9.428571428571429,55.46218487394958
United States of America,8.295606633692174,48.7976860805422
Uruguay,10.382978723404255,61.07634543178973
Uzbekistan,12.4,72.94117647058825
"Venezuela, Bolivarian Republic of...",11.933333333333334,70.19607843137256
Viet Nam,11.44,67.29411764705881
Yemen,12.357142857142858,72.6890756302521
Zambia,12.076923076923077,71.04072398190046
Zimbabwe,10.923076923076923,64.25339366515837
